Loaded training data: 1281167 classes: 1000
Loaded validation data: 50000 classes: 1000
Data loaded
Loaded 5 batches in 0.85 seconds
train classes: 1000
model head: 1000
Starting fresh training (no resume).
CC: (8, 9)
TF32 matmul: True
TF32 cudnn: True
[Epoch 0] start — noise=5.0e-04, kd_scale=1.00, T=3
[E1 B2800] CE 5.6350 | KD 0.0233
[E1 B3000] CE 5.8362 | KD 0.0142
[E1 B3200] CE 5.7235 | KD 0.0266
[E1 B3400] CE 5.4522 | KD 0.0284
[E1 B3600] CE 6.0954 | KD 0.0486
[E1 B3800] CE 5.6068 | KD 0.0203
[E1 B4000] CE 5.7387 | KD 0.0173
[E1 B4200] CE 5.7799 | KD 0.0162
[E1 B4400] CE 5.5163 | KD 0.0181
[E1 B4600] CE 5.5832 | KD 0.0123
[E1 B4800] CE 5.6819 | KD 0.0124
[E1 B5000] CE 5.6602 | KD 0.0381
[E1 B5200] CE 5.8220 | KD 0.0346
[E1 B5400] CE 5.7947 | KD 0.0506
[E1 B5600] CE 5.6551 | KD 0.0505
[E1 B5800] CE 5.5279 | KD 0.0395
[E1 B6000] CE 5.6347 | KD 0.0671
[E1 B6200] CE 5.9521 | KD 0.0678
[E1 B6400] CE 5.4784 | KD 0.0567
[E1 B6600] CE 5.5577 | KD 0.0427
[E1 B6800] CE 5.7312 | KD 0.0321
[E1 B7000] CE 5.8411 | KD 0.0226
[E1 B7200] CE 5.7416 | KD 0.0307
[E1 B7400] CE 5.6556 | KD 0.0360
[E1 B7600] CE 5.6046 | KD 0.0205
[E1 B7800] CE 5.6248 | KD 0.0950
[E1 B8000] CE 5.8837 | KD 0.0626
[E1 B8200] CE 5.8751 | KD 0.0777
[E1 B8400] CE 5.8207 | KD 0.0935
[E1 B8600] CE 5.9414 | KD 0.2827
[E1 B8800] CE 5.7487 | KD 0.0728
[E1 B9000] CE 5.6344 | KD 0.0846
[E1 B9200] CE 5.6413 | KD 0.0794
[E1 B9400] CE 5.6875 | KD 0.0288
[E1 B9600] CE 5.4839 | KD 0.0601
[E1 B9800] CE 5.4897 | KD 0.0289
[E1 B10000] CE 5.9340 | KD 0.0888
[E1 B10200] CE 5.6868 | KD 0.0841
[E1 B10400] CE 5.5152 | KD 0.1343
[E1 B10600] CE 5.4344 | KD 0.1278
[E1 B10800] CE 5.3981 | KD 0.1004
[E1 B11000] CE 5.4541 | KD 0.1079
[E1 B11200] CE 5.4358 | KD 0.1252
[E1 B11400] CE 5.8608 | KD 0.0820
[E1 B11600] CE 5.6503 | KD 0.0683
[E1 B11800] CE 5.6000 | KD 0.0708
[E1 B12000] CE 5.5429 | KD 0.0546
[E1 B12200] CE 5.5462 | KD 0.0477
[E1 B12400] CE 5.5937 | KD 0.0549
[E1 B12600] CE 5.2282 | KD 0.1005
[E1 B12800] CE 5.7379 | KD 0.0775
[E1 B13000] CE 5.0893 | KD 0.0855
[E1 B13200] CE 5.3008 | KD 0.0682
[E1 B13400] CE 5.5892 | KD 0.0990
[E1 B13600] CE 5.6026 | KD 0.1298
[E1 B13800] CE 5.2748 | KD 0.1113
[E1 B14000] CE 5.3862 | KD 0.1203
[E1 B14200] CE 5.4255 | KD 0.0595
[E1 B14400] CE 5.4794 | KD 0.0435
[E1 B14600] CE 5.3792 | KD 0.0441
[E1 B14800] CE 5.3519 | KD 0.0745
[E1 B15000] CE 5.6849 | KD 0.0794
[E1 B15200] CE 5.9823 | KD 0.1266
[E1 B15400] CE 5.5163 | KD 0.1086
[E1 B15600] CE 5.2824 | KD 0.1361
[E1 B15800] CE 5.6373 | KD 0.1598
[E1 B16000] CE 5.3855 | KD 0.1221
[E1 B16200] CE 5.5564 | KD 0.1122
[E1 B16400] CE 5.5789 | KD 0.0913
[E1 B16600] CE 5.5874 | KD 0.1311
[E1 B16800] CE 5.4569 | KD 0.0981
[E1 B17000] CE 5.4330 | KD 0.1220
[E1 B17200] CE 5.2102 | KD 0.1668
[E1 B17400] CE 5.6537 | KD 0.1143
[E1 B17600] CE 5.3738 | KD 0.1461
[E1 B17800] CE 5.1473 | KD 0.1249
[E1 B18000] CE 5.5495 | KD 0.1144
[E1 B18200] CE 5.6118 | KD 0.0808
[E1 B18400] CE 5.2476 | KD 0.0832
[E1 B18600] CE 5.2673 | KD 0.1039
[E1 B18800] CE 5.3524 | KD 0.1155
[E1 B19000] CE 5.4353 | KD 0.0965
[E1 B19200] CE 5.3763 | KD 0.1281
[E1 B19400] CE 5.4107 | KD 0.1091
[E1 B19600] CE 5.3666 | KD 0.1449
[E1 B19800] CE 5.5790 | KD 0.1555
[E1 B20000] CE 5.1870 | KD 0.1132
